camp,uid,address_2026,events_2026,talks_2026,parties_2026,website,instagram,facebook,soundcloud,youtube,email,hometown,accepting_campers,publishes_lineup,official_2026
Chicago Handshake,a1XVI00000FBVCj2AP,2:45 & D,2,0,0,https://untitledtitle.com,,,,,redacted@example.invalid,Chicago,,,yes
Camp Why is My Mouth Tingling,a1XVI00000FBhdh2AD,4:15 & G,2,0,0,,,,,,,Las Vegas,,,yes
Bad Idea,a1XVI00000FC31V2AT,4:15 & E,2,1,1,,,,,,,"Meadville, PA",yes,,yes
Pussy Avalanche,a1XVI00000FC6sD2AT,4:00 & G,2,0,0,https://pussyavalanche.net,,,,,redacted@example.invalid,Houston,yes,,yes
YOUniversal Teahouse,a1XVI00000FC7Rh2AL,4:45 & D,2,0,1,,,,,,,Los Angeles,,,yes
Cheshire Alley,a1XVI00000FCLHl2AP,4:30 & G@ 2:15,2,0,2,,,groups,,,redacted@example.invalid,Denver,,,yes
Deep Playa Simulator,a1XVI00000FCzof2AD,9:45 & D,2,0,1,https://deepplayasimulator.com/,,,,,redacted@example.invalid,Carson City,,,yes
Pretty Pickle,a1XVI00000FDOyL2AX,7:30 & Esp,2,1,0,https://prettypicklecamp.p1r8.net/,,,,,redacted@example.invalid,Thornton,,,yes
Groundhaus,a1XVI00000FDcWf2AL,5:00 & E,2,0,2,,,,,,,Los Angeles,,,yes
Lost and Sound,a1XVI00000FDdFp2AL,2:45 & F,2,0,2,,,,,,redacted@example.invalid,Cincinnati,,,yes
Avant Garden,a1XVI00000FE7PB2A1,5:45 & G,2,0,0,https://avantgarden.camp/,,,,,redacted@example.invalid,San Francisco,,,yes
Après-Ski,,8:15 & B,2,0,2,,,,,,,Verbier,,,
Aurora,a1XVI00000FFhf72AD,4:15 & D,2,0,0,http://www.aurorabrc.org,rsrc.php,docs,,,,New York,,,yes
Simian Akademy,a1XVI00000FFrY12AL,7:45 & D,2,0,0,http://SimianAkademy.com,,,,,redacted@example.invalid,Boulder,,,yes
Sharkey's Bar and Lounge,a1XVI00000FGkFx2AL,7:00 & A,2,0,2,,,,,,,Los Angeles,yes,,yes
Black Rock Observatory Theme Camp,a1XVI00000FHYMP2A5,3:00 & G@ 8:15,2,0,1,https://www.blackrockobservatory.com/,BlackRockObservatory,BlackRockObservatory,,Black-Rock-Observatory,redacted@example.invalid,"Portland, OR",,,yes
Dusty Mule Saloon and Playground,a1XVI00000FI5IL2A1,4:45 & E,2,0,2,,,,,,redacted@example.invalid,Denver,yes,,yes
Treble Makers,a1XVI00000FI8w92AD,2:30 & Esp,2,0,2,https://johmathe.github.io/camp.html,,,,,,San Francisco,,,yes
Burning Man Studios,a1XVI00000FI94D2AT,6:45 & B,2,0,1,http://www.burningmanstudios.com,,2008,,,redacted@example.invalid,Los Angeles,yes,,yes
Sake To Me,a1XVI00000FIDCf2AP,4:30 & F,2,0,1,,,,,,redacted@example.invalid,Las Vegas,,,yes
Don't STOP,a1XVI00000FIaUD2A1,7:15 & E,2,1,0,,,,,,redacted@example.invalid,San Mateo,,,yes
The Surge,a1XVI00000FIqYz2AL,3:00 & G@ 2:15,2,0,0,,,,,,,Phoenix,,,yes
Dilated Peoples,a1XVI00000FIyEn2AL,6:45 & C,2,0,0,,,dilatedpeeps,,,,San Francisco,,,yes
Magic Lantern Society,a1XVI00000FJ0bZ2AT,CC@ 11:30,2,1,0,,,magiclanternsociety,,,redacted@example.invalid,"Pacifica, CA",,,yes
VW Bus Camp,a1XVI00000FJNMr2AP,3:30 & D,2,1,1,http://vwbuscamp.com,,walterthebus,,,redacted@example.invalid,Tucson,yes,,yes
Camp Come Find Us CCFU,a1XVI00000FJaVN2A1,3:15 & B,2,1,0,,,profile.php,,,redacted@example.invalid,Las Vegas,yes,,yes
Stoop City,a1XVI00000FJkCz2AL,4:30 & D,2,0,1,,,,,,,New York City,yes,,yes
Yummy RUMInations,a1XVI00000FK1nJ2AT,4:30 & G@ 3:45,2,0,1,,,yummyruminations,,,,Los Angeles,,,yes
Interaction Café,,3:30 & B,2,1,0,,,,,,redacted@example.invalid,San Rafael,,,
You Light Up My Ride,a1XVI00000FK26f2AD,8:15 & E,2,0,0,,,,,,,marin county,,,yes
Unnecessarily High Five,a1XVI00000FK2mb2AD,4:00 & B,2,0,0,,,,,,,Puerto Rico,,,yes
Brand-Ur-Ass N More,a1XVI00000FKJST2A5,4:30 & B@ 10:30,2,0,1,,,BrandURAss,,,redacted@example.invalid,Reno,,,yes
The Organization,a1XVI00000FKWSv2AP,8:15 & A,2,0,2,,,,,,redacted@example.invalid,San Francisco,yes,,yes
Camp Blowjob,a1XVI00000FKbqn2AD,2:45 & F,2,0,1,,,,,,,Boise,,,yes
Atomic Pussy Photo Lounge,a1XVI00000FKbxF2AT,5:45 & B,2,0,2,https://atomicpussyphotolounge.com,,,,,redacted@example.invalid,Salt Lake City,yes,,yes
Memento Mori,a1XVI00000FKcoT2AT,4:45 & G,2,1,0,,,,,,redacted@example.invalid,Bend,,,yes
HealAF,a1XVI00000FKdCf2AL,6:15 & E,2,1,0,https://qqwangxin.github.io/transcendental-water/,,,,,,San Francisco,yes,,yes
M*A*S*H 4207th,a1XVI00000FKdXd2AL,3:15 & B,2,0,0,,,,,,,Portland Oregon,yes,,yes
Branding & Booze,a1XVI00000FKnTl2AL,7:00 & B,2,0,0,,,,,,,San Francisco,,,yes
Lit AF,a1XVI00000FKnWz2AL,2:45 & A,2,1,1,http://camplitaf.com/,,,,,redacted@example.invalid,Las Vegas,,,yes
Here,a1XVI00000FKnbp2AD,9:15 & C,2,0,1,,,,,,redacted@example.invalid,New York,yes,,yes
IHOTT: After Dark,a1XVI00000FKnlV2AT,8:45 & B,2,0,0,,https://www.instagram.com/ihottbrc/,,,,,Seattle,,,yes
Skyhorse Carousel,a1XVI00000FKr5x2AD,CC@ 2:15,2,0,1,https://skyhorsecarousel.com/,,,,,redacted@example.invalid,Altadena,yes,,yes
Barbots: Baby Needs A Break,a1XVI00000FL2iv2AD,8:45 & D,2,0,2,,,,,,,Santa Barbara,,,yes
Camp Random Pants,a1XVI00000FLAJt2AP,2:30 & E,2,0,2,,,,,,redacted@example.invalid,West Coast,yes,,yes
Hair of the Dog (HOTD),a1XVI00000FLE492AH,5:30 & A,2,0,2,https://thehotd.com,,WordPresscom,,,redacted@example.invalid,San Francisco,yes,,yes
Camp Butter,a1XVI00000FLJGj2AP,4:15 & D,2,0,2,https://campbutter.com/,campbutter,,campbutter,bttr,redacted@example.invalid,Santa Cruz,,,yes
RedNeck Regal Theatre,a1XVI00000FLKsj2AH,4:15 & G,2,0,0,,,sincityvillage,,,redacted@example.invalid,Reno,yes,,yes
Cheat Codes,a1XVI00000FLLK92AP,9:15 & A,2,0,2,,,,,,,Oakland,,,yes
Oceyolotl Sanctuary,a1XVI00000FLLQb2AP,4:45 & D,2,0,2,,oceyolotl_sanctuary,,,,,Tepoztlan,yes,,yes
Backfire,a1XVI00000FLUQf2AP,7:00 & B,2,0,0,https://backfire.camp,,,,,,San Francisco,yes,,yes
Dr. Playa's ENT Clinic,a1XVI00000FLnpv2AD,6:15 & Esp,2,1,1,https://drplayas.com,,,,,redacted@example.invalid,Reno,yes,,yes
Redhanded,a1XVI00000FLpZx2AL,8:45 & B,2,0,1,,campredhanded,,,,redacted@example.invalid,San Francisco,,,yes
Armageddon Bike Camp,a1XVI00000FLplF2AT,3:00 & Esp,2,0,1,,,armageddonBRC,,,,Salt Lake City,,,yes
Paper Cranes,a1XVI00000FLq2z2AD,8:15 & B,2,0,2,https://www.papercranesburningman.com,papercranesburningman,,,,redacted@example.invalid,San Francisco,,,yes
Orgy Bus Camp,a1XVI00000FLqNx2AL,7:30 & H,2,0,0,,,,,,redacted@example.invalid,Salt Lake City,yes,,yes
Society for Temporal Preservation,a1XVI00000FLqm92AD,6:00 & F,2,1,0,,,groups,,,,Reno,yes,,yes
Lusty Chanterelle Kombucha Bar,a1XVI00000FLtSH2A1,CC@ 10:45,2,1,1,,,,,,redacted@example.invalid,San Francisco,yes,,yes
Nom De Plume,a1XVI00000FM07B2AT,10:10:00 & 00 B,2,0,2,,,,,,redacted@example.invalid,Yerba Mateville,yes,,yes
Camp Delicioso & Creperie,a1XVI00000FM0rx2AD,2:15 & C,2,0,0,https://campdelicioso.com,,,,,redacted@example.invalid,Long Beach,yes,,yes
Black Rock City Passport Office,a1XVI00000FM81V2AT,CC@ 4:30,2,0,0,http://brcpassportoffice.com/,blackrockcitypassportoffice,BRCPassportOffice,,,redacted@example.invalid,San Jose,yes,,yes
Gaudium Genus Aureus,a1XVI00000FM95d2AD,7:45 & D,2,0,0,,,,,,redacted@example.invalid,Oakland,,,yes
MUSE Café,,8:15 & E,2,0,1,,,,,,,Denver,,,
Temple O'Flying Spaghetti Monster,a1XVI00000FMBp02AH,3:30 & C,2,0,1,http://www.fsmtemple.com/,,,,,,Los Angeles,yes,,yes
Olympvs,a1XVI00000FMEzl2AH,4:00 & E,2,0,0,,,,,,,Los Angeles,yes,,yes
Barbie Day Spa,a1XVI00000FMG0f2AH,5:30 & D,2,0,0,,,,,,redacted@example.invalid,NYC,yes,,yes
Playa Alterations,a1XVI00000FMGv72AH,8:45 & B,2,0,0,,,,,,,La Ventana,,,yes
Short Bus Coffee Camp,a1XVI00000FMJZd2AP,8:00 & A,2,0,0,,,,,,redacted@example.invalid,"Chico, California USA",yes,,yes
The Wastelanders,a1XVI00000FMK5t2AH,6:00 & Esp,2,0,0,,,groups,,,redacted@example.invalid,Jawbone canyon California,,,yes
Way Way SuperGood,a1XVI00000FMLoL2AX,4:30 & B@ 1:00,2,0,1,,,,,,redacted@example.invalid,Salt Lake City,yes,,yes
Secret Passage,a1XVI00000FMLrZ2AX,5:45 & C,2,1,0,,,,,,,Brooklyn,yes,,yes
Misters & Sisters,a1XVI00000FMLun2AH,2:45 & E,2,0,0,,,,,,,Sacramento,yes,,yes
Camp Just Ahead,a1XVI00000FMM7h2AH,6:00 & E,2,0,0,https://campjustahead.art,,,,,redacted@example.invalid,Beaumont,yes,,yes
DayCare,a1XVI00000FMMCY2A5,8:45 & A,2,0,0,,,,,,,Los Angeles,yes,,yes
Groove Oasis,a1XVI00000FMMvh2AH,8:15 & C,2,1,1,http://www.grooveoasis.com/,,,,,,San Francisco,,,yes
Hodge Podge,a1XVI00000FMNN72AP,8:45 & C,2,0,0,,,,,,,Portland,,,yes
Camp Seem to Leave,a1XVI00000FMO1R2AX,6:15 & D,2,0,2,,,,,,redacted@example.invalid,San Francisco,,,yes
Shuttlecocks,a1XVI00000FMO9V2AX,8:15 & D,2,0,0,,,,,,redacted@example.invalid,"Truckee, CA",,,yes
Jail of Hedone,a1XVI00000FMOB72AP,6:30 & E,2,0,2,https://www.JailOfHedone.com,,,,,redacted@example.invalid,San Diego,yes,,yes
Drawn Inn,a1XVI00000FMOHZ2A5,7:30 & G@ 6:45,2,0,1,,,,,,,San Francisco,,,yes
Udder Nonsense,a1XVI00000FMORF2A5,3:00 & B@ 1:30,2,0,2,,https://www.instagram.com/camp_uddernonsense,,,,,Vancouver,,,yes
It's Only Natural,a1XVI00000FMPIT2A5,7:15 & C,2,0,2,,,,,,,Reno,yes,,yes
Long Feng Camp,a1XVI00000FMSRd2AP,10:00 & K,2,0,2,https://www.longfengartcar.com/,,,,,redacted@example.invalid,Los Angeles,,,yes
Afterglow Lounge & Spa,a1XVI00000FMVm52AH,5:00 & B,2,0,2,,burning.man.afterglow,,,,redacted@example.invalid,Los Angeles,yes,,yes
Cloud 9,a1XVI00000FMX7x2AH,8:00 & C,2,1,1,,,,,,,Tulum,,,yes
Titanic,a1XVI00000FMcxF2AT,9:45 & E,2,0,2,,,,,,redacted@example.invalid,San Francisco,yes,,yes
Cozy Cat Camp,a1XVI00000FMdGb2AL,4:15 & E,2,0,2,https://www.cozycatcamp.com,,,,,redacted@example.invalid,Reno,,,yes
Hardly,a1XVI00000FMf0f2AD,2:45 & Esp,2,0,0,http://hardlybrc.com,,,,,redacted@example.invalid,Mountain View,yes,,yes
Beverly Grillz,a1XVI00000FMfzx2AD,7:30 & B@ 7:45,2,0,2,,,,,,redacted@example.invalid,New York,yes,,yes
Aya The Tiger,a1XVI00000FMi8F2AT,9:15 & D,2,0,0,,,,,,,"Evergreen, Colorado",,,yes
VCamp - Vibrations in the Desert,a1XVI00000FMig52AD,2:00 & B,2,0,0,https://v-camp.org/,,,,,redacted@example.invalid,Los Angeles,,,yes
Vin Et Gare,a1XVI00000FMjCL2A1,7:15 & D,2,1,0,,,,,,,San Francisco,,,yes
Astropups,a1XVI00000FMk6n2AD,6:45 & C,2,0,2,,,groups,,,,San Francisco,,,yes
Math Camp @ Group W,a1XVI00000FMlVt2AL,3:15 & E,2,0,0,https://www.mathcamp.us,,,,,redacted@example.invalid,East Palo Alto,yes,,yes
Norms Garage,a1XVI00000FMmoX2AT,5:15 & F,2,0,0,https://pedalporch.carrd.co/,,,,,redacted@example.invalid,"Bend, OR",,,yes
Dusty Bottoms,a1XVI00000FMsM62AL,7:45 & E,2,0,2,,,,,,redacted@example.invalid,Los Angeles,,,yes
ClusterF*ck United,a1XVI00000FMwJF2A1,4:15 & B,2,0,2,https://www.ckunited.net/,,,,,redacted@example.invalid,San Francisco,,,yes
Fantastica Music Healing Camp,a1XVI00000FN9rZ2AT,7:45 & D,2,2,2,,,,,,redacted@example.invalid,los Angeles,yes,,yes
Ripple,a1XVI00000FNW9p2AH,5:15 & B,2,0,0,,,,,,redacted@example.invalid,"Issaquah, WA",,,yes
Bunny Meth Lab,a1XVI00000FOc3V2AT,9:30 & Esp,2,0,1,,,,,,,Denver,yes,,yes
Camp Be Bothered,a1XVI00000FP1ep2AD,7:15 & D,2,0,1,,,campbebothered,,,,Los Angeles,,,yes
SlöMóth,,9:00 & G@ 3:45,2,0,2,,moth.camp,,,,,Dubai,,,
Nordic Paradise,a1XVI00000FQ9DV2A1,7:30 & Esp,2,0,1,https://nordicparadise.org/,,,,,redacted@example.invalid,Göteborg,yes,,yes
Moon Landing,a1XVI00000FQxQP2A1,7:45 & A,2,0,0,https://moon-landing.net/,,,,,redacted@example.invalid,Oakland,yes,,yes
The Market,a1XVI00000FSeLF2A1,3:00 & F,2,0,1,,https://www.instagram.com/themarket_brc/?,,,,redacted@example.invalid,San Francisco,yes,,yes
Central Cafe,a1XVI00000FYIuj2AH,4:30 & Esp,2,1,1,,,,,,,Warsaw,yes,,yes
Camp Gotalotgoinon,a1XVI00000FBHw92AH,5:15 & F,1,0,1,https://www.upinsmokeflow.com/gotalotgoinon,,,,,redacted@example.invalid,Sacramento,yes,,yes
Camp Juicy,a1XVI00000FBIU12AP,4:45 & A,1,0,1,,,groups,,,redacted@example.invalid,los angeles,yes,,yes
Camp Pull My Finger,a1XVI00000FBIXF2A5,6:45 & E,1,0,0,,,,,,,Truckee,,,yes
Feed tHE ARTists,a1XVI00000FBJ6j2AH,10:00 & D,1,0,1,http://feedtheartists.org/,gabs_paezallup,,,,redacted@example.invalid,Atlanta,yes,,yes
Bike Gods,a1XVI00000FBJGP2A5,9:00 & D,1,0,0,http://thebikegods.com,,,,,redacted@example.invalid,"Reno, Sacramento, Paris, Salt Lake City",yes,,yes
Hello Mom!,a1XVI00000FBJcz2AH,3:15 & E,1,0,0,,,,,,redacted@example.invalid,Seattle,,,yes
Camp Pendant,a1XVI00000FBWTl2AP,7:15 & C,1,0,0,,,camppendant,,,redacted@example.invalid,PLACENTIA,yes,,yes
Wild Free Spirit,a1XVI00000FBf2P2AT,8:45 & A,1,0,0,,,,,,redacted@example.invalid,Bishop,yes,,yes
Camp Elephant Toe,a1XVI00000FBhx32AD,6:30 & G,1,0,0,,,,,,,Denver,yes,,yes
Pussy Day Spa,a1XVI00000FBxtl2AD,8:30 & A,1,0,0,,,,,,redacted@example.invalid,Redwood City,yes,,yes
WrongoWrongo,a1XVI00000FCFCL2A5,4:15 & G,1,1,0,,,,,,redacted@example.invalid,Cleveland,,,yes
ASTRO SHACK JaVa JoINt,a1XVI00000FCG0L2AX,8:30 & A,1,0,1,,,groups,,,redacted@example.invalid,"Eta Carinae Nebula, Milky Way Galaxy",yes,,yes
Crepiphany,a1XVI00000FCGRl2AP,6:00 & C,1,0,0,,,,,,,Seattle,yes,,yes
Silver City,a1XVI00000FCL9h2AH,4:30 & F,1,0,0,,camp_silvercity,,,,redacted@example.invalid,RENO,yes,,yes
Dacha,a1XVI00000FCNUr2AP,9:30 & D,1,0,1,http://www.dachacamp.com,,,,,redacted@example.invalid,Seattle,yes,,yes
Pops and Drops,a1XVI00000FD03B2AT,3:45 & C,1,0,1,,,,,,,Kelowna,,,yes
Side Boob,a1XVI00000FDejl2AD,4:15 & F,1,0,0,,,,,,,Telluride,,,yes
Symbio,a1XVI00000FDoG52AL,2:30 & F,1,0,1,,,,,,redacted@example.invalid,Miami,,,yes
Unicorner,a1XVI00000FEl852AD,3:30 & B,1,0,0,,,groups,,,redacted@example.invalid,"Dixon, CA",,,yes
Airstreameri and What Not,a1XVI00000FFFkT2AX,3:45 & C,1,0,0,,,,,,,"Genoa, Nevada",yes,,yes
Knotty Peckers,a1XVI00000FFWTZ2A5,4:45 & C,1,0,0,,,,,,,San Luis Obispo,yes,,yes
Black Rock Adventures Bus Stop!,a1XVI00000FFawz2AD,3:45 & C,1,0,0,http://www.blackrockadventures.org,,,,,redacted@example.invalid,Los Angeles,yes,,yes
Synapse Conduit,a1XVI00000FG0rR2AT,5:15 & B,1,1,0,,,groups,,,redacted@example.invalid,Oakland,,,yes
Stars And Bikes,a1XVI00000FG4Jx2AL,2:30 & C,1,0,0,https://starsandbikes.com/,,,,,redacted@example.invalid,Minneapolis,,,yes
T.b.c.,a1XVI00000FG62P2AT,2:15 & F,1,0,0,,,,,,,Los Angeles,,,yes
Saharaa Camp,a1XVI00000FG8c52AD,9:15 & J,1,0,0,https://www.saharcamp.com/,,,,,redacted@example.invalid,Marrakech,,,yes
Costco Soulmate Trading Outlet,a1XVI00000FGbJ72AL,7:30 & G@ 2:45,1,1,0,https://www.csto.org,,,,,redacted@example.invalid,Santa Cruz,yes,,yes
IcyHands Chillzone,a1XVI00000FGz6v2AD,3:30 & B,1,0,0,,,groups,,,redacted@example.invalid,Los Angeles,,,yes
Bad Boy's Discover Your Kinks,a1XVI00000FHKL32AP,4:15 & D,1,0,0,https://badboysdiscoveryourkinks.wordpress.com/,,WordPresscom,,,redacted@example.invalid,Cupertino,,,yes
Dust Stars Collective,a1XVI00000FI5bh2AD,8:30 & E,1,0,0,,https://www.instagram.com/duststars.collective/,,,,,GUADALAJARA,,,yes
AAA Astro Accessible Arcade,a1XVI00000FI5i92AD,9:00 & B@ 8:15,1,1,0,https://www.dawncollective.org,,,,,redacted@example.invalid,"Gilroy, CA",yes,,yes
Two Lanterns,a1XVI00000FI9XF2A1,2:45 & A,1,0,0,,,twolanternsthemecamp,,,redacted@example.invalid,Santa Cruz,,,yes
Darkwad Patrol,a1XVI00000FI9c52AD,8:15 & C,1,0,0,,,,,,,Tucson,,,yes
Diptown,a1XVI00000FIO3F2AX,7:45 & C,1,0,0,https://shminke.art/diptown/,,,,,redacted@example.invalid,Yekaterinburg,yes,,yes
Apotheneum,a1XVI00000FIZjR2AX,6:45 & D,1,0,1,https://www.anthonyfieldman.com/architecture#/apotheneum/,,2008,,,,New York City,yes,,yes
UnStable,a1XVI00000FIhtt2AD,6:45 & D,1,1,0,,chesteronfire,,,,redacted@example.invalid,Santa rosa,yes,,yes
Wonder Camp,a1XVI00000FIk292AD,4:30 & G@ 9:45,1,0,0,,,departmentofwonder,,,redacted@example.invalid,Tacoma,,,yes
Bearwhalea,a1XVI00000FIzcH2AT,4:00 & C,1,0,0,,,,,,,Reno,,,yes
Shenanigans,a1XVI00000FJeXN2A1,4:15 & E,1,0,0,,,,,,,SAN FRANCISCO,,,yes
Camp Home,a1XVI00000FJnu12AD,7:30 & Esp,1,0,0,,,CampHome,,,redacted@example.invalid,"Crestline, CA",,,yes
ta-keel-ya or ta-heal-ya,a1XVI00000FJp852AD,8:15 & C,1,0,0,,,,,,,San Diego,,,yes
Pandora's Lounge & Fix-it Shoppe,a1XVI00000FJuST2A1,CC@ 9:45,1,1,0,https://sites.google.com/site/pandorascamp/,,,,,redacted@example.invalid,St. Louis,yes,,yes
Maybe You Should Talk To Someone,a1XVI00000FK1CD2A1,4:45 & D,1,0,0,,,,,,redacted@example.invalid,Southern California,yes,,yes
Spec-Taters,a1XVI00000FK2GL2A1,8:45 & B,1,0,0,,,,,,redacted@example.invalid,Boulder,,,yes
Wild Child,a1XVI00000FK2eX2AT,CC@ 12:45,1,1,1,,wildchildbm,,,,redacted@example.invalid,Bali,yes,,yes
Gravity,a1XVI00000FK2jN2AT,3:30 & F,1,0,1,https://www.gravitycamp.org/,,,,,redacted@example.invalid,San Francisco,yes,,yes
Camp Peace of Ass,a1XVI00000FK2kz2AD,2:45 & C,1,0,0,,,,,,,Reno,yes,,yes
Camp Orange Heart,a1XVI00000FK2t32AD,6:00 & E,1,0,0,,,groups,,,redacted@example.invalid,"Aspen, Colorado",yes,,yes
Second Wind Pirate Cafe,a1XVI00000FKBt72AH,6:00 & G@ 11:15,1,0,1,http://secondwindpiratecafe.com,,,,,redacted@example.invalid,New York City,,,yes
Ofosho,a1XVI00000FKM3l2AH,5:00 & D,1,0,1,,camp.ofosho,,,,,San Francisco,,,yes
Flat Tire Cafe,a1XVI00000FKRrS2AX,4:30 & B@ 6:45,1,0,0,http://flattirecafe.com,,2008,,,redacted@example.invalid,Los Angeles and New York primarily but we have people from all over the world!,,,yes
Under the Big Top,a1XVI00000FKagD2AT,3:00 & I,1,1,0,,,,,,redacted@example.invalid,Reno,yes,,yes
Metal-Morphosis,a1XVI00000FKcGb2AL,5:15 & C,1,1,0,,,,,,redacted@example.invalid,Santa Cruz,yes,,yes
Sian Kamp,a1XVI00000FKctJ2AT,3:45 & A,1,0,1,,,,,,,Tulum,,,yes
Barbie Death Village,a1XVI00000FKdRB2A1,5:30 & C,1,0,0,http://barbiedeathcamp.com,,,,,redacted@example.invalid,Reno,yes,,yes
The Pink Spot,a1XVI00000FKnaD2AT,3:45 & E,1,0,1,,,,,,redacted@example.invalid,"Park City, UT",,,yes
badlands,a1XVI00000FKo012AD,9:30 & F,1,0,1,,badlands_camp,,,,redacted@example.invalid,Los Angeles,yes,,yes
Brainiac Camp,a1XVI00000FKo3F2AT,6:15 & F,1,1,0,,,,,,,"Portland, OR",yes,,yes
Pirate Camp,a1XVI00000FKqzV2AT,5:15 & D,1,0,0,,,,,,,Jackson,,,yes
Art Car Camp,a1XVI00000FLGnV2AX,2:45 & A,1,1,0,,,,,,,"Douglas, AZ",,,yes
Camp Bare Tentacles,a1XVI00000FLIhF2AX,8:15 & C,1,0,0,,,,,,,Maui,,,yes
Dome on the Range,a1XVI00000FLIyz2AH,7:30 & B@ 1:30,1,0,1,,,,,,,San Francisco,,,yes
ChillVille on the Esplanade,a1XVI00000FLK372AH,4:30 & Esp,1,0,0,,chill.ville.on.the.esplanade,https://www.facebook.com/ChillVilleOnTheEsplanade,,,,Santa Cruz,,,yes
Gears & Beers,a1XVI00000FLKW92AP,7:45 & B,1,0,0,,,gearsandbeer3,,,,"Seattle, WA",,,yes
Camp PlayApology,a1XVI00000FLKuL2AX,6:30 & F,1,0,1,https://playapology.com/,,groups,,,redacted@example.invalid,"Tuscon, AZ",,,yes
Contraptionists,a1XVI00000FLLSD2A5,7:00 & B,1,0,0,http://contraptionist.com,,,,,,Black Rock city,yes,,yes
Team Human Base Camp,a1XVI00000FLLtd2AH,9:45 & D,1,0,1,,,,,,redacted@example.invalid,Mount Shasta,yes,,yes
Lovana,a1XVI00000FLNSP2A5,6:15 & E,1,0,0,,,,,,,Fremont,yes,,yes
Sundowners,a1XVI00000FLPM92AP,7:45 & B,1,0,1,https://sundowners.org/,sundownerssafari,,,,redacted@example.invalid,Brooklyn,,,yes
The Carrot Club,a1XVI00000FLR2z2AH,7:00 & C,1,0,0,,,MoreCarrot.BRC.FarmersMarket,,,redacted@example.invalid,Annapolis,yes,,yes
Fur,a1XVI00000FLSn32AH,7:15 & B,1,0,1,http://furryburners.com,,,,,,San Francisco,yes,,yes
Camp Morning Wood,a1XVI00000FLVPx2AP,7:45 & E,1,0,1,,,,,,redacted@example.invalid,Los Angeles,,,yes
Shift the atmosphere,a1XVI00000FLXzf2AH,4:45 & F,1,0,0,,,,,,redacted@example.invalid,Atlanta,,,yes
Burning Sky,a1XVI00000FLfVl2AL,5:00 & F,1,0,0,https://burningsky.org,burningskydivers,,,,redacted@example.invalid,Davis,,,yes
Burning My Crêpe,,4:15 & G,1,0,0,,,,,,redacted@example.invalid,"Quimper, France",,,
Mostly in Tune,a1XVI00000FLjj32AD,7:30 & F,1,0,1,,,,,,redacted@example.invalid,"Santa Cruz, CA",yes,,yes
Moon Cheese,a1XVI00000FLlhd2AD,8:30 & A,1,0,0,,,mooncheeseburningman,,,redacted@example.invalid,San Francisco,,,yes
Above & Below,a1XVI00000FLneb2AD,4:45 & D,1,0,1,,,,,,,"Richmond, CA",,,yes
MacGyvers' Union,a1XVI00000FLp6v2AD,7:15 & B,1,1,0,http://www.macgyversunion.com,,2008,,,redacted@example.invalid,Oakland,yes,,yes
Discrace,a1XVI00000FLpjd2AD,4:00 & E,1,1,0,,,,,,,Seattle,,,yes
Happy Hour,a1XVI00000FLq9R2AT,3:30 & A,1,0,1,,,pages,,,redacted@example.invalid,Sacramento,,,yes
The Island,a1XVI00000FLrbl2AD,7:45 & C,1,1,0,,,,,,redacted@example.invalid,Tahiti,yes,,yes
SolarPlus,a1XVI00000FLrgb2AD,8:00 & F,1,1,0,https://solarplus.casa/,,,,,,New York,yes,,yes
Healing Foot Wash Life Truth Love,a1XVI00000FLtHG2A1,5:00 & G,1,0,0,https://healingfootwash.org,,healingfootwash,,,redacted@example.invalid,Castro Valley,,,yes
Monkey King Camp,a1XVI00000FLuGH2A1,2:15 & H,1,0,1,http://monkeykingandfriends.com,,,,,redacted@example.invalid,Los angeles,yes,,yes
Death Guild Thunderdon't,a1XVI00000FM5Ob2AL,8:30 & A,1,1,0,http://www.deathguildthunderdome.com/,,,,,redacted@example.invalid,"Oakland, California",,,yes
Happy Hair Salon,a1XVI00000FM6nh2AD,10:00 & A,1,0,1,,,profile.php,,,redacted@example.invalid,Salt Lake City,yes,,yes
Space Cowboys,a1XVI00000FM7lN2AT,2:45 & D,1,1,1,https://www.spacecowboys.org/,spacecowboyssf,2008,spacecowboys,,redacted@example.invalid,"Sacramento & San Francisco, California",yes,,yes
Lucid Dream Hideout,a1XVI00000FMEEz2AP,8:45 & G,1,0,1,,,,,,redacted@example.invalid,Reno,,,yes
Firelight & Lemonade,a1XVI00000FMFFt2AP,2:45 & D,1,0,0,,,,,,,"Eugene, Oregon",yes,,yes
Solarpunks,a1XVI00000FMJkv2AH,2:00 & K,1,0,1,https://solarpunks.club,solarpunks.club,2008,,,redacted@example.invalid,Los Angeles,,,yes
Cameltopia,a1XVI00000FMJub2AH,4:00 & D,1,0,1,https://cameltopia.org/,,,,,redacted@example.invalid,San Francisco,,,yes
Roca,a1XVI00000FMKp32AH,3:45 & D,1,0,0,,,,,,,Truckee,,,yes
Camp Canadianderthal,a1XVI00000FMLmj2AH,9:15 & D,1,0,1,,,,,,redacted@example.invalid,"Oakland, CA",,,yes
Cinematic Regrets,a1XVI00000FMLwP2AX,6:15 & E,1,0,0,,,,,,,San Diego,,,yes
Playa Glass,a1XVI00000FMMdx2AH,8:45 & C,1,0,1,,,,,,,Cambridge,yes,,yes
Book Club,a1XVI00000FMNLV2A5,9:30 & A,1,0,0,,,,,,,Oakland,,,yes
